sample_id	Pb_2hr.dat	Pb_4hr.dat	Pb_6hr.dat	Pb_8hr.dat	Pb_10hr.dat	Pb_12hr.dat	Pb_14hr.dat	Pb_16hr.dat	Pb_18hr.dat	Pb_20hr.dat	Pb_22hr.dat	Pb_24hr.dat
PBANKA_1238800	-0.043796718	1.226968536	-0.277094365	-0.339158221	-0.127956177	-0.649998776	-0.435921849	-1.102211512	-0.745443811	-0.402940077	0.746028937	0.863816523
PBANKA_0808900	0.162242332	0.313703159	0.291942962	0.244463455	0.047058073	0.142958285	-0.063265333	0.157392139	-0.247700171	-0.27331973	-0.623248006	-0.579317427
PBANKA_1346700	0.214999115	-0.252092017	0.120100084	0.478126676	0.364430532	0.169105635	-0.336798861	-0.850096862	-0.868696523	-1.59897283	-1.544441229	-0.826022661
PBANKA_0410600	0.608222057	0.392628564	0.309131085	0.23501573	0.318771936	-0.033558698	-0.359803646	-0.94456754	-0.994953517	-0.982520417	-0.739625487	-0.901382208
PBANKA_1104300	0.440710984	0.205558958	0.154163048	0.571541933	0.199797619	0.263983871	0.004189861	-0.053531793	-0.278197587	-0.481852531	-0.450806359	-0.387551144
PBANKA_1449900	-1.459534206	-0.416405232	-1.31348124	-2.024594043	-1.235438936	-1.645624828	-1.449455003	-1.552887196	-1.582682492	-1.163897844	-1.1193063	-0.840440654
PBANKA_1142900	-0.126170641	-0.147144694	0.147543458	0.277299701	0.312694506	0.403218179	-0.133832241	-0.621633113	-0.552945094	-1.185039267	-1.287122163	-0.459852016
PBANKA_0929500	-0.397841807	0.055525727	-0.530152229	-0.545460073	-0.050777689	0.410134168	0.281928496	0.443321874	-0.057954754	-0.207341197	-0.674396072	-0.170522166
PBANKA_0411500	-0.063974129	-0.115264056	0.059542352	0.132743584	0.152508672	0.461122931	0.196272213	-0.018455969	-0.07994746	-0.217012087	-0.693416714	-0.423478307
PBANKA_0204200	-1.05799815	-0.028883682	-0.282819581	-0.230286685	-0.079559389	0.062546652	0.167780585	0.070054766	-0.432745852	-0.230095158	-0.140370664	-0.272677856
PBANKA_1302500	-0.050168145	1.047538496	-0.282917319	-0.283375881	-0.246935176	0.040788053	-0.321079586	-0.40831576	-0.087256131	-0.138170403	0.427781639	0.799698529
