"","pf.33","pf.34","pf.69","pf.83","pf.98","pf.177","pf.243","pf.260","pf.263","pf.264","pf.277","pf.280","pf.338","pf.340","pf.341","pf.353","pf.354","pf.356","pf.357","pf.370","pf.371","pf.373"
"PF3D7_1003900",0,0,0,0,0,4,0,0,0,0,0,26,0,0,0,47,0,0,0,0,0,0
"PF3D7_1004000",0,85,774,225,1495,72,0,94,0,58,0,659,0,828,3480,0,0,138,1,0,0,0
"PF3D7_1004100",0,40,0,0,0,0,0,191,0,0,0,0,0,0,27,0,0,0,0,0,0,0
"PF3D7_1004200",23,2,0,59,407,43,0,0,10,0,0,596,34,808,0,0,37,108,0,0,0,0
"PF3D7_1004300",366,0,0,494,0,625,0,397,591,662,3803,67,316,1551,337,151,743,684,0,253,642,3
"PF3D7_1004400",6,0,0,76,42,7,7,0,6,110,0,5,1,5,1,199,0,46,33,52,173,0
"PF3D7_1004500",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1004600",0,0,0,0,0,0,0,0,1,17,0,0,35,0,0,0,0,0,0,1,22,0
"PF3D7_1004700",0,0,0,22,0,0,0,0,60,0,0,0,0,7,0,0,51,0,0,12,79,0
"PF3D7_1004800",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1004900",0,0,0,41,0,24,0,0,23,6,0,0,0,0,0,0,31,13,0,31,0,0
